id,split
image_0,val
image_2,train
image_3,val
image_4,train
image_5,val
image_7,val
image_9,train
image_10,train
image_11,val
image_12,val
image_13,train
image_14,val
image_15,train
image_16,train
image_17,train
image_18,train
image_19,val
image_20,train
image_21,train
image_23,val
image_25,train
image_26,train
image_27,val
image_28,train
image_29,train
image_30,train
image_31,train
image_32,train
image_33,train
image_34,train
image_35,train
image_37,train
image_40,train
image_41,train
image_42,train
image_43,train
image_45,train
image_46,val
image_47,val
image_52,val
image_53,train
image_54,val
image_55,val
image_56,train
image_57,train
image_58,train
image_59,train
image_60,train
image_61,train
image_62,train
image_63,train
image_65,train
image_66,train
image_67,val
image_68,val
image_69,train
image_71,train
image_72,val
image_74,train
image_75,train
image_76,train
image_79,val
image_81,val
image_84,train
image_85,train
image_86,train
image_87,val
image_88,train
image_89,train
image_90,train
image_91,val
image_92,train
image_93,train
image_94,train
image_95,train
image_97,train
image_98,train
image_99,train
image_100,train
image_101,val
image_102,train
image_103,train
image_104,train
image_105,train
image_106,train
image_107,train
image_108,val
image_110,val
image_111,train
image_112,train
image_113,train
image_115,train
image_116,train
image_117,train
image_118,val
image_119,train
image_120,train
image_121,train
image_122,train
image_123,train
image_124,train
image_125,train
image_126,train
image_127,train
image_128,val
image_130,train
image_132,train
image_133,train
image_134,train
image_135,train
image_136,train
image_137,val
image_140,train
image_141,train
image_142,train
image_143,train
image_144,train
image_145,train
image_146,train
image_147,train
image_148,train
image_149,val
image_150,train
image_151,train
image_152,train
image_155,train
image_157,val
image_158,train
image_159,train
image_160,train
image_163,train
image_164,train
image_167,val
image_168,train
image_169,val
image_170,train
image_172,train
image_173,train
image_174,train
image_175,train
image_177,train
image_178,train
image_179,train
image_181,val
image_182,train
image_184,train
image_186,val
image_187,train
image_188,train
image_191,val
image_194,train
image_195,train
image_197,train
image_198,train
image_199,train
image_200,train
image_203,train
image_204,train
image_205,train
image_207,train
image_209,train
image_210,train
image_211,train
image_212,val
image_214,train
image_215,train
image_217,train
image_218,train
image_220,train
image_226,train
image_228,val
image_230,val
image_235,train
image_236,train
image_237,val
image_238,val
image_239,train
image_242,val
image_243,train
image_244,train
image_245,train
image_246,train
image_247,val
image_249,train
image_251,train
image_252,train
image_254,train
image_255,train
image_258,val
image_259,train
image_261,train
image_262,val
image_263,val
image_264,train
image_265,train
image_266,train
image_267,val
image_268,val
image_269,train
image_270,train
image_272,train
image_273,train
image_275,val
image_276,train
image_277,train
image_280,train
image_281,val
image_282,train
image_288,train
