id,xmin,ymin,xmax,ymax,direction,split,image_path
image_0,-228.87714385986328,223.6187400817871,-110.61487913131714,416.3587894439697,1,val,data\train_data\image_0.png
image_2,871.8668460845947,218.14234161376956,945.3596305847168,423.0768539905548,0,train,data\train_data\image_2.png
image_3,-224.5899653434753,220.84014320373532,-146.4019739627838,409.7472944259644,0,val,data\train_data\image_3.png
image_4,898.9811897277832,215.7680931091309,956.2790966033936,429.13394355773926,1,train,data\train_data\image_4.png
image_5,-166.9759225845337,223.75564002990723,-118.48630428314208,369.3323769569397,1,val,data\train_data\image_5.png
image_7,818.7552452087402,224.82557678222656,882.4551773071289,365.5906453132629,1,val,data\train_data\image_7.png
image_9,-293.9501953125,223.9131965637207,-177.6994800567627,407.1625890731812,0,train,data\train_data\image_9.png
image_10,-307.3855948448181,215.6910743713379,-243.78775835037231,438.10311102867126,0,train,data\train_data\image_10.png
image_11,852.6660060882568,222.4197998046875,913.0372524261476,386.7249503135681,0,val,data\train_data\image_11.png
image_12,-246.37405157089236,220.733512878418,-129.44802045822144,440.0395050048828,1,val,data\train_data\image_12.png
image_13,838.6223888397217,225.4016151428223,887.019739151001,358.805965423584,0,train,data\train_data\image_13.png
image_14,818.8780689239502,225.51774406433103,917.5978660583496,383.8893475532532,1,val,data\train_data\image_14.png
image_15,836.266508102417,219.19926071166992,959.2206001281738,447.5068893432617,1,train,data\train_data\image_15.png
image_16,821.3584899902344,223.66111183166504,859.4090366363525,365.9085478782654,0,train,data\train_data\image_16.png
image_17,793.7331962585449,227.98311614990237,877.3952865600586,361.3868012428284,1,train,data\train_data\image_17.png
image_18,-171.52729868888855,229.0566864013672,-89.55160439014435,354.8977937698364,1,train,data\train_data\image_18.png
image_19,825.699634552002,213.0535831451416,920.0780296325684,457.7654322385788,1,val,data\train_data\image_19.png
image_20,831.2208652496338,224.06139755249023,862.7770328521729,360.4335870742798,1,train,data\train_data\image_20.png
image_21,-159.4058918952942,225.25507354736328,-93.22484135627748,364.011088848114,1,train,data\train_data\image_21.png
image_23,-219.90354537963867,222.09063911437988,-99.15162205696106,421.4453806877136,1,val,data\train_data\image_23.png
image_25,846.7417144775391,223.42258834838867,924.68825340271,382.12145709991455,0,train,data\train_data\image_25.png
image_26,812.1646499633789,227.68757247924805,910.4415607452391,378.3703198432922,1,train,data\train_data\image_26.png
image_27,-224.66935873031616,222.0821704864502,-94.17949318885805,429.62090396881104,1,val,data\train_data\image_27.png
image_28,-310.0749707221985,222.2814979553223,-163.13591122627258,454.1454925537109,1,train,data\train_data\image_28.png
image_29,822.5320529937744,226.30835914611816,905.1767063140868,367.3930826187134,0,train,data\train_data\image_29.png
image_30,873.2790184020996,220.42807006835935,997.3162078857422,452.0661994218826,0,train,data\train_data\image_30.png
image_31,-171.27361536026,227.50378036499023,-83.33891093730927,367.8344955444336,1,train,data\train_data\image_31.png
