id,xmin,ymin,xmax,ymax,direction
image_0,-228.87714385986328,223.6187400817871,-110.61487913131714,416.3587894439697,1
image_2,871.8668460845947,218.14234161376953,945.3596305847168,423.0768539905548,0
image_3,-224.58996534347534,220.84014320373535,-146.4019739627838,409.74729442596436,0
image_4,898.9811897277832,215.76809310913086,956.2790966033936,429.13394355773926,1
image_5,-166.9759225845337,223.75564002990723,-118.48630428314209,369.3323769569397,1
image_7,818.7552452087402,224.82557678222656,882.4551773071289,365.59064531326294,1
image_9,-293.9501953125,223.9131965637207,-177.6994800567627,407.16258907318115,0
image_10,-307.3855948448181,215.6910743713379,-243.78775835037231,438.10311102867126,0
image_11,852.6660060882568,222.4197998046875,913.0372524261475,386.7249503135681,0
image_12,-246.37405157089233,220.73351287841797,-129.44802045822144,440.0395050048828,1
image_13,838.6223888397217,225.40161514282227,887.019739151001,358.805965423584,0
image_14,818.8780689239502,225.51774406433105,917.5978660583496,383.8893475532532,1
image_15,836.266508102417,219.19926071166992,959.2206001281738,447.5068893432617,1
image_16,821.3584899902344,223.66111183166504,859.4090366363525,365.9085478782654,0
image_17,793.7331962585449,227.98311614990234,877.3952865600586,361.38680124282837,1
image_18,-171.52729868888855,229.0566864013672,-89.55160439014435,354.8977937698364,1
image_19,825.699634552002,213.0535831451416,920.0780296325684,457.7654322385788,1
image_20,831.2208652496338,224.06139755249023,862.7770328521729,360.4335870742798,1
image_21,-159.4058918952942,225.25507354736328,-93.22484135627747,364.011088848114,1
image_23,-219.90354537963867,222.09063911437988,-99.15162205696106,421.4453806877136,1
image_25,846.7417144775391,223.42258834838867,924.68825340271,382.12145709991455,0
image_26,812.1646499633789,227.68757247924805,910.4415607452393,378.37031984329224,1
image_27,-224.66935873031616,222.0821704864502,-94.17949318885803,429.62090396881104,1
image_28,-310.0749707221985,222.28149795532227,-163.13591122627258,454.14549255371094,1
image_29,822.5320529937744,226.30835914611816,905.1767063140869,367.3930826187134,0
image_30,873.2790184020996,220.42807006835938,997.3162078857422,452.06619942188263,0
image_31,-171.27361536026,227.50378036499023,-83.33891093730927,367.8344955444336,1
image_32,-271.7014217376709,220.83716773986816,-151.10130071640015,443.9450194835663,1
image_33,-189.0041971206665,227.5010051727295,-113.71816277503967,356.7970552444458,0
image_34,822.3130989074707,225.47565841674805,885.0076103210449,363.1540479660034,1
image_35,885.5064582824707,217.65519523620605,941.5002536773682,410.73559188842773,0
image_37,-251.94210290908813,221.7829074859619,-105.64734220504761,448.9063444137573,1
image_40,884.252986907959,214.2437400817871,939.8289585113525,440.8452978134155,1
image_41,804.4773960113525,228.32323455810547,883.676290512085,352.70049953460693,1
image_42,-237.93631553649902,217.65442276000977,-169.54928755760193,424.13322949409485,1
image_43,-185.44816732406616,226.99620628356934,-102.17316269874573,365.6912031173706,1
image_45,813.759126663208,227.46864700317383,862.1895217895508,345.6696357727051,0
image_46,844.9871635437012,223.85177040100098,958.1408500671387,420.9076192378998,1
image_47,824.9702453613281,223.4641876220703,926.7917060852051,399.27584314346313,0
image_52,-187.92927503585815,227.51799964904785,-95.31020522117615,375.0593509674072,1
image_53,-272.4267554283142,223.8524570465088,-163.7584090232849,410.3942289352417,1
image_54,-192.1303653717041,223.84247207641602,-96.83774471282959,391.7009630203247,1
image_55,-212.53508806228638,223.93617057800293,-134.8171591758728,380.83383226394653,0
image_56,-199.9834442138672,225.99009895324707,-112.92717933654785,373.11271810531616,0
image_57,812.0327281951904,220.9802761077881,925.3971290588379,419.4025602340698,1
image_58,-306.4489245414734,221.54220962524414,-159.38936948776245,449.3810489177704,1
image_59,819.3152046203613,221.4899387359619,878.0704307556152,391.05816984176636,1
image_60,807.258996963501,227.0856704711914,869.5821189880371,350.3280963897705,0
image_61,824.3944072723389,221.19322204589844,966.2912464141846,443.7999656200409,1
image_62,-261.99201822280884,216.3275089263916,-165.99805355072021,439.772020816803,1
image_63,808.6797523498535,224.17489433288574,928.1015682220459,413.3916654586792,0
image_65,-191.71518087387085,228.09778594970703,-101.5165364742279,365.55961751937866,0
image_66,-202.49251127243042,219.9841823577881,-155.0467014312744,396.28543758392334,0
image_67,840.5161571502686,224.98467826843262,880.0938034057617,356.0771360397339,0
image_68,-147.7303647994995,224.64318656921387,-116.34468913078308,356.3799180984497,1
image_69,833.8525199890137,220.06377601623535,974.6392250061035,457.59963059425354,1
image_71,839.0378093719482,216.6387882232666,952.9830265045166,446.41050958633423,1
image_72,805.4179286956787,227.6847972869873,892.593412399292,365.0167455673218,0
image_74,-192.940092086792,226.9743766784668,-104.54677820205688,366.54846572875977,0
image_75,796.0147476196289,229.52749633789062,874.3556785583496,355.0411310195923,1
